Island,lon,lat
OUFI,-155.931,20.7945
OUFI,-155.926,20.7908
OUFI,-155.922,20.7874
OUFI,-155.917,20.7827
OUFI,-155.911,20.78
OUFI,-155.906,20.7758
OUFI,-155.903,20.7687
OUFI,-155.9,20.7633
OUFI,-155.896,20.7582
OUFI,-155.892,20.7537
OUFI,-155.891,20.749
OUFI,-155.891,20.7443
OUFI,-155.891,20.7393
OUFI,-155.892,20.7346
OUFI,-155.895,20.7302
OUFI,-155.899,20.7262
OUFI,-155.903,20.7221
OUFI,-155.906,20.716
OUFI,-155.909,20.7121
OUFI,-155.913,20.7097
OUFI,-155.918,20.7106
OUFI,-155.921,20.7068
OUFI,-155.923,20.7007
OUFI,-155.925,20.6959
OUFI,-155.929,20.6941
OUFI,-155.934,20.6921
OUFI,-155.937,20.6869
OUFI,-155.938,20.6812
OUFI,-155.939,20.6764
OUFI,-155.943,20.6718
OUFI,-155.949,20.6698
OUFI,-155.954,20.6683
OUFI,-155.957,20.6647
OUFI,-155.962,20.661
OUFI,-155.966,20.6573
OUFI,-155.97,20.6542
OUFI,-155.973,20.6497
OUFI,-155.978,20.6466
OUFI,-155.981,20.642
OUFI,-155.984,20.6381
OUFI,-155.99,20.6347
OUFI,-155.996,20.6324
OUFI,-156.003,20.629
OUFI,-156.007,20.6262
OUFI,-156.012,20.623
OUFI,-156.016,20.6195
OUFI,-156.02,20.6157
OUFI,-156.024,20.613
OUFI,-156.03,20.6103
OUFI,-156.034,20.6083
OUFI,-156.04,20.606
OUFI,-156.045,20.6044
OUFI,-156.052,20.6025
OUFI,-156.058,20.6
OUFI,-156.062,20.5975
OUFI,-156.066,20.5948
OUFI,-156.071,20.5927
OUFI,-156.076,20.5901
OUFI,-156.082,20.5864
OUFI,-156.087,20.5843
OUFI,-156.092,20.5822
OUFI,-156.099,20.5801
OUFI,-156.106,20.5775
OUFI,-156.113,20.5735
OUFI,-156.117,20.5721
OUFI,-156.124,20.5721
OUFI,-156.13,20.5717
OUFI,-156.135,20.5708
OUFI,-156.14,20.5694
OUFI,-156.146,20.5665
OUFI,-156.151,20.5653
OUFI,-156.156,20.5644
OUFI,-156.161,20.561
OUFI,-156.167,20.5573
OUFI,-156.17,20.5543
OUFI,-156.174,20.551
OUFI,-156.179,20.5503
OUFI,-156.185,20.5511
OUFI,-156.19,20.5507
OUFI,-156.194,20.5475
OUFI,-156.199,20.5444
OUFI,-156.203,20.5428
OUFI,-156.208,20.5414
OUFI,-156.214,20.5402
OUFI,-156.219,20.5394
OUFI,-156.223,20.5373
OUFI,-156.228,20.5336
OUFI,-156.232,20.5308
